# Wall heat-flux
# Time          	patch           	min             	max             	integral        
399             	wall	2.50040504e+01	1.39013023e+03	3.58289503e-01
400             	wall	2.50011848e+01	1.39013023e+03	3.58287233e-01
401             	wall	2.49984208e+01	1.39013023e+03	3.58285041e-01
402             	wall	2.49957690e+01	1.39013023e+03	3.58282927e-01
403             	wall	2.49931898e+01	1.39013023e+03	3.58280887e-01
404             	wall	2.49906947e+01	1.39013023e+03	3.58278919e-01
405             	wall	2.49882657e+01	1.39013023e+03	3.58277019e-01
406             	wall	2.49859395e+01	1.39013023e+03	3.58275208e-01
407             	wall	2.49836967e+01	1.39013023e+03	3.58273462e-01
408             	wall	2.49815286e+01	1.39013023e+03	3.58271778e-01
409             	wall	2.49794248e+01	1.39013023e+03	3.58270155e-01
410             	wall	2.49773908e+01	1.39013023e+03	3.58268587e-01
411             	wall	2.49754272e+01	1.39013023e+03	3.58267072e-01
412             	wall	2.49735525e+01	1.39013023e+03	3.58265611e-01
413             	wall	2.49717187e+01	1.39013023e+03	3.58264202e-01
414             	wall	2.49699062e+01	1.39013023e+03	3.58262838e-01
415             	wall	2.49681719e+01	1.39013023e+03	3.58261523e-01
416             	wall	2.49664819e+01	1.39013023e+03	3.58260254e-01
417             	wall	2.49648413e+01	1.39013023e+03	3.58259029e-01
418             	wall	2.49632665e+01	1.39013023e+03	3.58257847e-01
419             	wall	2.49617377e+01	1.39013023e+03	3.58256706e-01
420             	wall	2.49602555e+01	1.39013023e+03	3.58255604e-01
