time_s,liquid_volume_m3,gas_volume_m3,vapour_water_volume_m3,phaseChange_mDot_integ
268.0,2.3959093993566547e-05,1.8040904310457876e-05,3.812813853534181e-07,-3.811845920124324e-07
270.0,2.3960558580190925e-05,1.8039439719548748e-05,3.3183027516481505e-07,-3.662612762603394e-07
272.0,2.3961966283747617e-05,1.8038032019271666e-05,3.9831182369182847e-07,-4.197592394525167e-07
274.0,2.39632376701256e-05,1.8036760630430814e-05,3.3626125402916357e-07,-4.734047108575865e-07
276.0,2.39645972410529e-05,1.8035401057218725e-05,3.593396240522754e-07,-3.03890258173133e-07
278.0,2.3965918756850555e-05,1.803407954390067e-05,3.57454877739915e-07,-4.565932720750681e-07
280.0,2.3967078731725484e-05,1.8032919572632514e-05,4.2469828830419957e-07,-4.29948420268952e-07
282.0,2.3968435205761628e-05,1.8031563092494264e-05,4.2744275606666225e-07,-4.980863880342211e-07
284.0,2.3969796243005578e-05,1.8030202060808425e-05,2.9208013852102106e-07,-5.226772349724501e-07
286.0,2.3970939021924643e-05,1.802905927483753e-05,3.973553549887382e-07,-6.624122556454361e-07
288.0,2.397222412232957e-05,1.8027774179202108e-05,3.393350276519618e-07,-3.9499412545845685e-07
290.0,2.39734058762383e-05,1.8026592424536246e-05,4.0118708534602023e-07,-5.314881067796002e-07
292.0,2.397472113657678e-05,1.8025277165596034e-05,4.991413799047494e-07,-5.139344288000362e-07
294.0,2.397606293503323e-05,1.802393536956327e-05,5.069425087282227e-07,-5.149074404468433e-07
296.0,2.3977163511547893e-05,1.8022834786620724e-05,4.515441019345089e-07,-6.141983814109578e-07
298.0,2.397815590132269e-05,1.8021842402278633e-05,4.787063368437675e-07,-6.363176636946438e-07
300.0,2.3979299042567224e-05,1.8020699262484095e-05,4.652955758449203e-07,-6.728237156397087e-07
302.0,2.398051053914617e-05,1.8019487762139558e-05,3.84058540894236e-07,-5.544068101712156e-07
304.0,2.3981507309358e-05,1.8018490995942566e-05,4.794194458442674e-07,-8.371860861725873e-07
