"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.08246,3.0079,7.6131e-24,0.078378,1,14.615,24.11,-22.077,0
0.084182,2.9954,2.1634e-23,0.056856,1,14.684,24.12,-22.008,0
0.089998,2.9712,-1.4743e-21,0.019441,1,14.753,24.13,-21.94,0
0.09709,2.9429,-3.4052e-21,-0.023652,1,14.823,24.14,-21.871,0
0.10427,2.914,-5.3465e-21,-0.067977,1,14.892,24.15,-21.803,0
0.11155,2.8845,-7.2982e-21,-0.11353,1,14.961,24.16,-21.734,0
0.1188,2.8536,-9.2688e-21,-0.1604,1,15.03,24.17,-21.666,0
0.12103,2.7941,-1.169e-20,-0.21188,1,15.1,24.18,-21.597,0
0.12283,2.7327,-1.428e-20,-0.26485,1,15.169,24.19,-21.529,0
0.12419,2.6696,-1.7038e-20,-0.3193,1,15.238,24.2,-21.46,0
0.12655,2.6173,-1.7842e-20,-0.37335,1,15.307,24.21,-21.391,0
0.13159,2.5882,-1.5603e-20,-0.42445,1,15.377,24.22,-21.323,0
0.13694,2.56,-1.4531e-20,-0.47557,1,15.446,24.23,-21.254,0
0.14258,2.5325,-1.4623e-20,-0.5267,1,15.515,24.24,-21.186,0
0.14853,2.5059,-1.5878e-20,-0.57786,1,15.584,24.25,-21.117,0
0.15477,2.4801,-1.8295e-20,-0.62903,1,15.654,24.26,-21.049,0
0.16132,2.4551,-2.1871e-20,-0.68022,1,15.723,24.27,-20.98,0
0.16817,2.431,-2.6606e-20,-0.73143,1,15.792,24.28,-20.912,0
0.17531,2.4077,-3.2497e-20,-0.78266,1,15.861,24.29,-20.843,0
0.18073,2.4126,-2.4332e-20,-0.84193,1,15.931,24.3,-20.775,0
0.19003,2.5285,2.2779e-20,-0.9136,1,16,24.31,-20.706,0
0.22025,2.5525,6.5109e-20,-0.88352,1,16.069,24.32,-20.638,0
0.26265,2.6603,9.8004e-20,-0.85374,1,16.139,24.33,-20.569,0
0.26461,2.4472,8.7893e-20,-0.87507,1,16.208,24.34,-20.5,0
0.33131,2.6208,8.525e-20,-0.78341,1,16.277,24.35,-20.432,0
0.35745,2.7115,7.7671e-20,-0.73394,1,16.346,24.36,-20.363,0
0.36575,2.5606,4.0483e-20,-0.63802,1,16.416,24.37,-20.295,0
0.37957,2.5245,1.3958e-20,-0.57511,1,16.485,24.38,-20.226,0
0.38546,2.473,-1.1032e-20,-0.53654,1,16.554,24.39,-20.158,0
0.39779,2.4612,-2.7776e-20,-0.50487,1,16.623,24.4,-20.089,0
0.38801,2.4332,-1.9739e-20,-0.47436,1,16.693,24.41,-20.021,0
0.38314,2.4254,-8.9029e-21,-0.44829,1,16.762,24.42,-19.952,0
0.38322,2.4301,1.5393e-21,-0.42732,1,16.831,24.43,-19.884,0
0.37856,2.4119,6.4989e-21,-0.41045,1,16.9,24.44,-19.815,0
0.37712,2.4066,7.0178e-21,-0.39695,1,16.97,24.45,-19.747,0
0.37559,2.401,4.7714e-21,-0.38555,1,17.039,24.46,-19.678,0
0.37876,2.4173,2.7039e-21,-0.37506,1,17.108,24.47,-19.609,0
0.38663,2.4555,8.1554e-22,-0.36549,1,17.178,24.48,-19.541,0
0.38499,2.4354,8.3442e-21,-0.35492,1,17.247,24.49,-19.472,0
0.38083,2.4048,1.4091e-20,-0.34621,1,17.316,24.5,-19.404,0
0.37817,2.3831,1.6671e-20,-0.33848,1,17.385,24.51,-19.335,0
0.37945,2.3816,1.6846e-20,-0.33133,1,17.455,24.52,-19.267,0
0.38469,2.4003,1.4608e-20,-0.32475,1,17.524,24.53,-19.198,0
0.39372,2.4386,9.9565e-21,-0.31878,1,17.593,24.54,-19.13,0
0.39347,2.4231,5.0885e-21,-0.31314,1,17.662,24.55,-19.061,0
0.39208,2.3992,3.1913e-21,-0.3071,1,17.732,24.56,-18.993,0
0.3942,2.3956,3.9324e-21,-0.30189,1,17.801,24.57,-18.924,0
0.39985,2.4123,7.3208e-21,-0.29751,1,17.87,24.58,-18.856,0
0.40868,2.4475,1.3383e-20,-0.294,1,17.939,24.59,-18.787,0
0.41491,2.4696,2.0276e-20,-0.2915,1,18.009,24.6,-18.718,0
0.42333,2.5023,2.5893e-20,-0.28955,1,18.078,24.61,-18.65,0
0.4225,2.4745,2.1298e-20,-0.28621,1,18.147,24.62,-18.581,0
0.42386,2.4592,1.4184e-20,-0.28344,1,18.216,24.63,-18.513,0
0.4272,2.4565,4.071e-21,-0.28124,1,18.286,24.64,-18.444,0
0.42897,2.4508,-1.0824e-20,-0.27897,1,18.355,24.65,-18.376,0
0.43313,2.4578,-2.4299e-20,-0.27717,1,18.424,24.66,-18.307,0
0.43969,2.4775,-3.6348e-20,-0.27584,1,18.494,24.67,-18.239,0
0.44866,2.5099,-4.6967e-20,-0.27498,1,18.563,24.68,-18.17,0
0.46005,2.5552,-5.6152e-20,-0.27459,1,18.632,24.69,-18.102,0
0.4597,2.5328,-4.6935e-20,-0.27122,1,18.701,24.7,-18.033,0
0.46029,2.5146,-3.677e-20,-0.26816,1,18.771,24.71,-17.965,0
0.46347,2.5105,-2.7253e-20,-0.26585,1,18.84,24.72,-17.896,0
0.46924,2.5206,-1.8385e-20,-0.26429,1,18.909,24.73,-17.827,0
0.47761,2.5449,-1.0169e-20,-0.26349,1,18.978,24.74,-17.759,0
0.48497,2.568,-3.6646e-21,-0.2625,1,19.048,24.75,-17.69,0
0.49328,2.598,-7.6651e-23,-0.26175,1,19.117,24.76,-17.622,0
0.5033,2.638,6.2146e-22,-0.26144,1,19.186,24.77,-17.553,0
0.50916,2.6524,-4.4491e-22,-0.26071,1,19.255,24.78,-17.485,0
0.51119,2.6419,-2.1334e-21,-0.25965,1,19.325,24.79,-17.416,0
0.51317,2.631,-4.5017e-21,-0.2586,1,19.394,24.8,-17.348,0
0.51408,2.6151,-5.9125e-21,-0.25725,1,19.463,24.81,-17.279,0
0.51695,2.6098,-6.8748e-21,-0.25644,1,19.532,24.82,-17.211,0
0.52179,2.6151,-7.3874e-21,-0.25616,1,19.602,24.83,-17.142,0
0.5286,2.631,-7.4486e-21,-0.25644,1,19.671,24.84,-17.074,0
0.53739,2.6576,-7.057e-21,-0.25725,1,19.74,24.85,-17.005,0
0.54401,2.6792,-6.0869e-21,-0.25682,1,19.81,24.86,-16.936,0
0.55209,2.7078,-3.9793e-21,-0.2565,1,19.879,24.87,-16.868,0
0.56056,2.7374,-7.1914e-22,-0.25599,1,19.948,24.88,-16.799,0
0.56261,2.7291,3.1743e-21,-0.25352,1,20.017,24.89,-16.731,0
0.56614,2.7272,7.2201e-21,-0.25144,1,20.087,24.9,-16.662,0
0.57006,2.7272,1.2056e-20,-0.24932,1,20.156,24.91,-16.594,0
0.57275,2.7227,1.7162e-20,-0.24661,1,20.225,24.92,-16.525,0
0.57713,2.7265,1.9951e-20,-0.24447,1,20.294,24.93,-16.457,0
0.58321,2.7384,2.0415e-20,-0.24292,1,20.364,24.94,-16.388,0
0.59099,2.7584,1.8547e-20,-0.24196,1,20.433,24.95,-16.32,0
0.60048,2.7867,1.434e-20,-0.24159,1,20.502,24.96,-16.251,0
0.60954,2.8149,3.8455e-21,-0.2416,1,20.571,24.97,-16.183,0
0.61875,2.8455,-1.0004e-20,-0.24189,1,20.641,24.98,-16.114,0
0.62653,2.8701,-2.2289e-20,-0.24215,1,20.71,24.99,-16.045,0
0.6271,2.8598,-2.7255e-20,-0.24154,1,20.779,25,-15.977,0
0.62864,2.8535,-3.1409e-20,-0.24117,1,20.849,25.01,-15.908,0
0.63116,2.8513,-3.4749e-20,-0.24102,1,20.918,25.02,-15.84,0
0.63299,2.8457,-3.0267e-20,-0.24052,1,20.987,25.03,-15.771,0
0.63507,2.841,-2.3343e-20,-0.23998,1,21.056,25.04,-15.703,0
0.63829,2.8414,-1.803e-20,-0.23972,1,21.126,25.05,-15.634,0
0.64264,2.8468,-1.4334e-20,-0.23973,1,21.195,25.06,-15.566,0
0.64813,2.8571,-1.2258e-20,-0.24002,1,21.264,25.07,-15.497,0
0.65477,2.8726,-1.1809e-20,-0.24059,1,21.333,25.08,-15.429,0
0.66055,2.8859,-1.0223e-20,-0.24087,1,21.403,25.09,-15.36,0
0.66669,2.9017,-7.9534e-21,-0.2413,1,21.472,25.1,-15.292,0
0.67384,2.9223,-5.7209e-21,-0.24206,1,21.541,25.11,-15.223,0
0.68199,2.9478,-3.5257e-21,-0.24316,1,21.61,25.12,-15.154,0
0.68829,2.9645,-8.0873e-22,-0.24382,1,21.68,25.13,-15.086,0
0.69064,2.962,2.5926e-21,-0.24339,1,21.749,25.14,-15.017,0
0.69283,2.9593,2.8787e-21,-0.24261,1,21.818,25.15,-14.949,0
0.69494,2.9569,4.1672e-22,-0.24148,1,21.887,25.16,-14.88,0
0.69784,2.9576,-1.8344e-21,-0.24051,1,21.957,25.17,-14.812,0
0.70154,2.9614,-3.8742e-21,-0.23968,1,22.026,25.18,-14.743,0
0.70603,2.9683,-5.7019e-21,-0.239,1,22.095,25.19,-14.675,0
0.71131,2.9783,-7.317e-21,-0.23847,1,22.165,25.2,-14.606,0
0.71666,2.9889,-9.1422e-21,-0.23782,1,22.234,25.21,-14.538,0
0.72117,2.9972,-1.2076e-20,-0.2367,1,22.303,25.22,-14.469,0
0.7265,3.0088,-1.5379e-20,-0.23578,1,22.372,25.23,-14.401,0
0.73266,3.0237,-1.9052e-20,-0.23504,1,22.442,25.24,-14.332,0
0.73965,3.0418,-2.3097e-20,-0.23448,1,22.511,25.25,-14.263,0
0.74748,3.0632,-2.7514e-20,-0.23412,1,22.58,25.26,-14.195,0
0.75614,3.0878,-3.2303e-20,-0.23394,1,22.649,25.27,-14.126,0
0.76118,3.099,-2.6276e-20,-0.23381,1,22.719,25.28,-14.058,0
0.76197,3.0931,-1.6081e-20,-0.23366,1,22.788,25.29,-13.989,0
0.76319,3.089,-6.002e-21,-0.23365,1,22.857,25.3,-13.921,0
0.76483,3.0865,3.9598e-21,-0.23376,1,22.926,25.31,-13.852,0
